cuenta_id,nombre,saldo,edad,tipo
109,Bob Johnson,10000,,-1
108,John Doe,8000,25,prestamo
135,Jane Smith,12000,30,unknown
108,Jane Smith,5000,35,prestamo
142,Bob Johnson,,100,prestamo
102,Steve Rogers,7000,40,-1
110,Steve Rogers,7000,30,ahorro
110,Unknown,10000,,-1
114,Unknown,8000,35,ahorro
132,John Doe,12000,45,prestamo
145,Diana Prince,8000,100,-1
108,Diana Prince,7000,30,-1
104,Bob Johnson,10000,25,prestamo
111,Charlie Green,10000,100,hipoteca
125,John Doe,7000,25,prestamo
136,Alice Brown,8000,35,hipoteca
147,Bob Johnson,5000,,-1
116,Steve Rogers,10000,100,hipoteca
106,Alice Brown,8000,40,prestamo
111,Jane Smith,,,prestamo
143,Jane Smith,10000,40,-1
123,Diana Prince,,25,ahorro
127,Steve Rogers,12000,25,-1
137,Diana Prince,10000,,hipoteca
121,John Doe,7000,25,-1
106,Steve Rogers,,35,ahorro
146,Diana Prince,10000,30,-1
105,John Doe,,30,-1
109,John Doe,7000,40,prestamo
142,Alice Brown,8000,25,-1
114,Jane Smith,,150,hipoteca
126,Diana Prince,5000,45,-1
113,Diana Prince,5000,25,-1
118,Steve Rogers,,45,ahorro
119,Jane Smith,,35,prestamo
138,Steve Rogers,5000,,hipoteca
135,Alice Brown,,45,prestamo
112,Steve Rogers,,40,prestamo
115,John Doe,8000,100,-1
125,Bob Johnson,7000,150,prestamo
131,Bob Johnson,10000,150,-1
122,John Doe,12000,100,hipoteca
130,Steve Rogers,5000,30,ahorro
126,John Doe,10000,,-1
106,John Doe,12000,35,prestamo
139,Alice Brown,7000,35,unknown
136,Bob Johnson,,,hipoteca
136,Steve Rogers,,40,-1
122,Bob Johnson,10000,40,ahorro
101,Jane Smith,10000,30,hipoteca
147,Steve Rogers,12000,,-1
128,John Doe,5000,30,prestamo
142,Charlie Green,7000,,prestamo
143,Jane Smith,10000,25,-1
119,John Doe,5000,35,prestamo
111,John Doe,12000,100,-1
108,Alice Brown,5000,45,ahorro
121,Alice Brown,8000,30,-1
107,John Doe,,45,-1
125,Alice Brown,,30,prestamo
124,Jane Smith,10000,45,prestamo
123,Diana Prince,10000,25,ahorro
116,Diana Prince,10000,25,-1
146,Unknown,12000,25,hipoteca
122,Jane Smith,,35,hipoteca
101,Jane Smith,12000,40,-1
103,Bob Johnson,7000,,prestamo
111,John Doe,12000,100,prestamo
121,Bob Johnson,,100,prestamo
115,Alice Brown,8000,40,hipoteca
135,Bob Johnson,10000,30,prestamo
114,Diana Prince,8000,30,-1
149,Steve Rogers,8000,25,prestamo
108,Diana Prince,10000,35,ahorro
141,Steve Rogers,,40,-1
129,Steve Rogers,7000,30,-1
108,Jane Smith,8000,25,-1
115,Charlie Green,5000,35,prestamo
142,Diana Prince,8000,,prestamo
150,Bob Johnson,8000,25,hipoteca
113,Jane Smith,8000,45,hipoteca
101,Bob Johnson,12000,30,hipoteca
105,Alice Brown,8000,35,-1
127,Charlie Green,8000,100,hipoteca
149,Bob Johnson,10000,25,-1
134,Diana Prince,,45,hipoteca
110,Charlie Green,10000,25,prestamo
148,Charlie Green,12000,100,ahorro
115,Bob Johnson,,30,prestamo
135,John Doe,10000,100,hipoteca
140,John Doe,7000,30,prestamo
113,Jane Smith,8000,35,-1
108,Jane Smith,,35,ahorro
130,Steve Rogers,12000,45,hipoteca
122,Alice Brown,5000,30,ahorro
144,John Doe,7000,45,ahorro
132,Unknown,5000,,-1
108,Charlie Green,8000,,prestamo
132,Bob Johnson,5000,25,ahorro
130,John Doe,12000,30,unknown
104,Bob Johnson,,,prestamo
102,Alice Brown,12000,30,-1
129,Bob Johnson,7000,,ahorro
141,Alice Brown,8000,25,prestamo
128,John Doe,12000,40,ahorro
122,Steve Rogers,10000,40,ahorro
123,Charlie Green,,,prestamo
104,Steve Rogers,5000,25,hipoteca
107,Diana Prince,5000,45,unknown
128,Diana Prince,8000,35,ahorro
113,Alice Brown,8000,35,hipoteca
117,Alice Brown,,45,hipoteca
129,Jane Smith,,30,-1
133,John Doe,7000,150,-1
113,Jane Smith,,25,prestamo
104,Alice Brown,7000,45,hipoteca
123,Alice Brown,,25,hipoteca
109,Alice Brown,12000,40,hipoteca
129,Alice Brown,5000,45,ahorro
146,Charlie Green,12000,100,hipoteca
141,Bob Johnson,5000,40,prestamo
127,Diana Prince,8000,35,-1
116,Diana Prince,7000,100,ahorro
126,Charlie Green,7000,100,hipoteca
135,Alice Brown,7000,,-1
111,John Doe,10000,35,hipoteca
119,John Doe,10000,100,-1
123,Bob Johnson,5000,45,ahorro
129,Unknown,7000,35,-1
105,Steve Rogers,10000,35,ahorro
116,Alice Brown,10000,30,-1
101,Charlie Green,8000,100,prestamo
117,Diana Prince,12000,30,prestamo
106,John Doe,5000,35,ahorro
139,Charlie Green,,25,-1
114,Steve Rogers,,100,prestamo
134,Bob Johnson,10000,35,hipoteca
